"","region","income","happy","age","finrela","marital","degree","health","wrkstat","partyid","polviews","sex","year"
"24173","PACIFIC","$25000 OR MORE","VERY HAPPY",38,"BELOW AVERAGE","MARRIED","HIGH SCHOOL",NA,"KEEPING HOUSE","NOT STR REPUBLICAN","MODERATE","FEMALE",1990
"38190","SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",76,"AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","RETIRED","STRONG DEMOCRAT","EXTREMELY LIBERAL","FEMALE",2000
"23602","W. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",42,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","LIBERAL","MALE",1990
"4225","SOUTH ATLANTIC","$15000 - 19999","VERY HAPPY",25,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","MODERATE","FEMALE",1975
"20490","W. SOU. CENTRAL","$25000 OR MORE","NOT TOO HAPPY",60,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",1988
"18598","E. NOR. CENTRAL","$25000 OR MORE",NA,55,"BELOW AVERAGE","WIDOWED","LT HIGH SCHOOL","FAIR","OTHER","STRONG DEMOCRAT",NA,"MALE",1987
"19380","MOUNTAIN","$25000 OR MORE","PRETTY HAPPY",19,"ABOVE AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","UNEMPL LAID OFF","IND NEAR REP","MODERATE","MALE",1987
"32942","PACIFIC","$10000 - 14999","NOT TOO HAPPY",23,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","KEEPING HOUSE","NOT STR DEMOCRAT","MODERATE","FEMALE",1996
"11259","NEW ENGLAND","$25000 OR MORE","VERY HAPPY",54,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",1982
"22751","PACIFIC","$10000 - 14999","NOT TOO HAPPY",66,"BELOW AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","RETIRED","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",1989
"21920","E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",31,"AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","INDEPENDENT","LIBERAL","MALE",1989
"16018","W. NOR. CENTRAL","$7000 TO 7999","PRETTY HAPPY",28,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","IND NEAR DEM","MODERATE","FEMALE",1985
"5360","E. NOR. CENTRAL","$8000 TO 9999","NOT TOO HAPPY",62,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","KEEPING HOUSE","NOT STR REPUBLICAN","MODERATE","FEMALE",1976
"20226","SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",30,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","MALE",1987
