"","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","year"
"2151",6400000,"TriStar Pictures","USA","Peter Hall","Crime",6849998,"Never Talk to Strangers","R","1995-10-20",86,5.1,"Rebecca De Mornay",5483,"Lewis A. Green",1995
"3337",0,"Alicia Produce","Spain","Julio Medem","Drama",1490177,"Sex and Lucia","R","2002-12-20",128,7.2,"Paz Vega",31120,"Julio Medem",2001
"1634",0,"Spring Creek Productions","USA","Peter Weir","Drama",6995302,"Fearless","R","1993-11-05",122,7.1,"Jeff Bridges",18643,"Rafael Yglesias",1993
"5895",2.5e+07,"Twentieth Century Fox Film Corporation","USA","Andy Fickman","Comedy",77267296,"Parental Guidance","PG","2012-12-25",105,6.1,"Billy Crystal",22401,"Lisa Addario",2012
"5526",3.2e+07,"Summit Entertainment","USA","Duncan Jones","Mystery",54712227,"Source Code","PG-13","2011-04-01",93,7.5,"Jake Gyllenhaal",414859,"Ben Ripley",2011
"4317",3.2e+07,"Revolution Studios","USA","Brian Levant","Adventure",82674398,"Are We There Yet?","PG","2005-01-21",95,4.6,"Ice Cube",24485,"Steven Gary Banks",2005
"2150",0,"TriStar Pictures","USA","John Fortenberry","Comedy",17014653,"Jury Duty","PG-13","1995-04-12",88,4.1,"Pauly Shore",6575,"Barbara Williams",1995
"4268",4.5e+07,"Universal Pictures","USA","Susan Stroman","Comedy",19377727,"The Producers","PG-13","2005-12-25",134,6.4,"Nathan Lane",36654,"Mel Brooks",2005
"1690",1e+07,"New Line Cinema","USA","Michael Gottlieb","Action",4247162,"Mr. Nanny","PG","1993-10-08",84,3.6,"Hulk Hogan",7914,"Edward Rugoff",1993
"6276",0,"Ulrich Seidl Film Produktion GmbH","Austria","Severin Fiala","Horror",1168902,"Goodnight Mommy","R","2015-09-11",99,6.7,"Lukas Schwarz",29190,"Veronika Franz",2014
"310",1.8e+07,"Amercent Films","USA","Jonathan Kaplan","Comedy",18532286,"Project X","PG","1987-04-17",108,6.1,"Matthew Broderick",8879,"Lawrence Lasker",1987
"1757",0,"Beijing Film Studio","China","Zhuangzhuang Tian","Drama",355974,"El papalote azul","Not specified","1994-03-25",100,7.7,"Tian Yi",2170,"Xiao Mao",1993
"5155",1.6e+07,"Warner Bros.","USA","Richard Kelly","Drama",15045676,"The Box","PG-13","2009-11-06",115,5.6,"Cameron Diaz",80381,"Richard Kelly",2009
"1138",8500000,"Warner Bros.","USA","Mario Van Peebles","Action",47624253,"New Jack City","R","1991-03-08",97,6.6,"Wesley Snipes",25867,"Thomas Lee Wright",1991
"819",1.6e+07,"AM/PM Entertainment","USA","Robert Ellis Miller","Adventure",67878,"Brenda Starr","PG","1992-04-15",93,4.6,"Brooke Shields",856,"Noreen Stone",1989
"1774",5.5e+07,"Canal+","France","Roland Emmerich","Action",71565669,"Stargate: la puerta del tiempo","PG-13","1994-10-28",116,7.1,"Kurt Russell",156375,"Dean Devlin",1994
"3105",1e+08,"Touchstone Pictures","USA","Brian De Palma","Adventure",60883407,"Mission to Mars","PG","2000-03-10",114,5.6,"Tim Robbins",63522,"Lowell Cannon",2000
"6421",3e+07,"Escape Artists","Hong Kong","Antoine Fuqua","Drama",52421953,"Revancha","R","2015-07-24",124,7.4,"Jake Gyllenhaal",176502,"Kurt Sutter",2015
"4411",2e+06,"Wiedemann & Berg Filmproduktion","Germany","Florian Henckel von Donnersmarck","Drama",11286112,"The Lives of Others","R","2007-03-30",137,8.5,"Ulrich Mühe",285724,"Florian Henckel von Donnersmarck",2006
"6793",130000,"Changing Film Productions","USA","Bank Tangjaitrong","Adventure",13557,"Till We Meet Again","NOT RATED","2016-11-25",105,6.9,"John Matton",1248,"John Matton",2016
"4953",2.5e+07,"TriStar Pictures","USA","Rodrigo García","Drama",270659,"Passengers","PG-13","2008-10-24",93,5.9,"Anne Hathaway",29805,"Ronnie Christensen",2008
"5371",8e+06,"Focus Features","USA","Anna Boden","Comedy",6350058,"It's Kind of a Funny Story","PG-13","2010-10-08",101,7.1,"Keir Gilchrist",116014,"Anna Boden",2010
"6298",0,"Hardstyle","USA","Benny Safdie","Drama",80015,"Heaven Knows What","R","2015-05-29",97,6.5,"Arielle Holmes",2884,"Josh Safdie",2014
"2542",0,"Columbia Pictures Corporation","USA","Jeff Pollack","Comedy",20060051,"Booty Call","R","1997-02-26",79,5.3,"Jamie Foxx",6739,"Takashi Bufford",1997
"3955",0,"Bad Aaas Cinema","USA","Mario Van Peebles","Biography",365727,"Baadasssss!","R","2005-03-17",108,7.4,"Mario Van Peebles",4384,"Melvin Van Peebles",2003
"3631",3.5e+07,"Quinta Communications","France","Brian De Palma","Crime",6592103,"Mujer fatal","R","2002-11-06",114,6.3,"Rebecca Romijn",29963,"Brian De Palma",2002
"3948",20000,"Professor Bright Films","USA","Ben Coccio","Drama",7221,"Zero Day","UNRATED","2004-01-23",92,7.3,"Cal Robertson",3594,"Ben Coccio",2003
"2483",1e+07,"Miramax","USA","James Mangold","Crime",44886089,"Cop Land","R","1997-08-15",105,6.9,"Sylvester Stallone",73991,"James Mangold",1997
"2686",4e+07,"New Line Cinema","USA","Gary Ross","Comedy",40568025,"Pleasantville","PG-13","1998-10-23",124,7.5,"Tobey Maguire",108475,"Gary Ross",1998
"740",8e+06,"Carolco Entertainment","USA","Sean S. Cunningham","Action",8143225,"DeepStar Six","R","1989-01-13",105,5.2,"Greg Evigan",7701,"Lewis Abernathy",1989
"4363",0,"Applause Bhansali Productions","India","Sanjay Leela Bhansali","Drama",733094,"Black","NOT RATED","2005-02-04",122,8.2,"Amitabh Bachchan",27633,"Sanjay Leela Bhansali",2005
"4490",0,"Les Productions du Trésor","France","Guillaume Canet","Crime",6177192,"Tell No One","UNRATED","2008-08-08",131,7.6,"François Cluzet",41947,"Guillaume Canet",2006
"2745",1.3e+07,"TriStar Pictures","USA","Kirk Wong","Action",27052167,"The Big Hit","R","1998-04-24",91,6.1,"Mark Wahlberg",25792,"Ben Ramsey",1998
"12",1.6e+07,"Thorn EMI Screen Entertainment","UK","Russell Mulcahy","Action",5900000,"Highlander","R","1986-03-07",116,7.2,"Christopher Lambert",104860,"Gregory Widen",1986
"2877",3.7e+07,"Ghoulardi Film Company","USA","Paul Thomas Anderson","Drama",22455976,"Magnolia","R","2000-01-07",188,8,"Tom Cruise",253771,"Paul Thomas Anderson",1999
"4087",6e+07,"Revolution Studios","USA","Joe Roth","Comedy",73780539,"Christmas with the Kranks","PG","2004-11-24",99,5.2,"Tim Allen",30985,"John Grisham",2004
"6437",9e+07,"Summit Entertainment","USA","Breck Eisner","Action",27367660,"The Last Witch Hunter","PG-13","2015-10-23",106,6,"Vin Diesel",74795,"Cory Goodman",2015
"4599",0,"Glen Echo Entertainment","USA","Scott Glosserman","Comedy",69136,"Behind the Mask: The Rise of Leslie Vernon","R","2006-10-13",100,6.8,"Nathan Baesel",18107,"Scott Glosserman",2006
"315",1e+05,"Conquering Unicorn","USA","Robert Townsend","Comedy",5228617,"Hollywood Shuffle","R","1987-03-20",78,7,"Robert Townsend",3009,"Robert Townsend",1987
"6387",1.55e+08,"Paramount Pictures","USA","Alan Taylor","Action",89760956,"Terminator Genisys","PG-13","2015-07-01",126,6.5,"Arnold Schwarzenegger",212532,"Laeta Kalogridis",2015
"1903",5e+07,"Hollywood Pictures","USA","Deran Sarafian","Action",16478900,"Terminal Velocity","PG-13","1994-09-23",102,5.4,"Charlie Sheen",11352,"David Twohy",1994
"5440",3e+06,"Paramount Pictures","USA","Tod Williams","Horror",84752907,"Paranormal Activity 2","R","2010-10-22",91,5.7,"Katie Featherston",87197,"Michael R. Perry",2010
